payoff_cooperate,payoff_defect,opponent_trust_score,opponent_aggression_score,relationship_value,repetition_likelihood,information_asymmetry,commitment_signal_strength,retaliation_risk,coordination_benefit,expected_outcome
0.693,0.421,0.638,0.341,0.779,0.774,0.154,0.882,0.236,0.792,signal_commitment
0.454,0.767,0.554,0.34,0.801,0.813,0.341,0.546,0.504,0.515,negotiate
0.77,0.242,0.856,0.193,0.896,0.82,0.073,0.639,0.056,0.873,cooperate
0.209,0.681,0.195,0.894,0.288,0.329,0.699,0.188,0.768,0.079,retaliate
0.736,0.158,0.803,0.195,0.916,0.742,0.077,0.646,0.08,0.805,cooperate
0.256,0.725,0.148,0.768,0.135,0.287,0.55,0.142,0.827,0.057,retaliate
0.28,0.87,0.237,0.758,0.213,0.145,0.614,0.097,0.531,0.199,defect
0.396,0.565,0.256,0.459,0.363,0.402,0.936,0.2,0.432,0.301,delay
0.56,0.327,0.66,0.24,0.69,0.611,0.123,0.651,0.164,0.556,cooperate
0.328,0.826,0.264,0.72,0.073,0.174,0.48,0.099,0.693,0.129,defect
0.407,0.568,0.478,0.334,0.425,0.369,0.745,0.157,0.366,0.309,delay
0.473,0.55,0.438,0.27,0.556,0.741,0.509,0.489,0.382,0.493,negotiate
0.784,0.191,0.753,0.055,0.654,0.518,0.261,0.452,0.238,0.616,cooperate
0.422,0.509,0.423,0.498,0.378,0.454,0.819,0.298,0.424,0.34,delay
0.355,0.572,0.274,0.478,0.452,0.412,0.916,0.249,0.455,0.236,delay
0.629,0.285,0.609,0.251,0.694,0.799,0.199,0.831,0.206,0.556,signal_commitment
0.551,0.402,0.661,0.379,0.664,0.864,0.146,0.635,0.364,0.772,signal_commitment
0.271,0.62,0.121,0.839,0.103,0.223,0.462,0.056,0.871,0.156,retaliate
0.263,0.65,0.16,0.829,0.232,0.256,0.689,0.161,0.811,0.142,retaliate
0.337,0.71,0.141,0.743,0.113,0.34,0.791,0.171,0.811,0.065,retaliate
0.543,0.517,0.356,0.259,0.756,0.59,0.332,0.454,0.454,0.504,negotiate
0.462,0.527,0.563,0.521,0.591,0.435,0.403,0.475,0.542,0.548,mixed_strategy
0.768,0.109,0.892,0.071,0.808,0.773,0.118,0.796,0.07,0.803,cooperate
0.309,0.646,0.068,0.824,0.107,0.332,0.615,0.149,0.812,0.128,retaliate
0.151,0.732,0.261,0.575,0.09,0.28,0.582,0.052,0.475,0.183,defect
0.609,0.368,0.822,0.122,0.543,0.597,0.346,0.473,0.234,0.728,cooperate
0.56,0.356,0.692,0.25,0.699,0.889,0.157,0.557,0.322,0.701,signal_commitment
0.614,0.269,0.509,0.227,0.763,0.763,0.192,0.789,0.337,0.724,signal_commitment
0.35,0.337,0.493,0.437,0.514,0.632,0.466,0.538,0.572,0.349,mixed_strategy
0.327,0.856,0.123,0.819,0.275,0.227,0.502,0.12,0.631,0.229,defect
0.569,0.554,0.36,0.383,0.685,0.659,0.482,0.545,0.403,0.531,negotiate
0.623,0.494,0.583,0.244,0.624,0.894,0.289,0.615,0.304,0.741,signal_commitment
0.49,0.609,0.462,0.453,0.523,0.533,0.728,0.25,0.45,0.33,delay
0.411,0.898,0.478,0.354,0.924,0.721,0.256,0.509,0.378,0.66,negotiate
0.533,0.821,0.573,0.425,0.85,0.663,0.262,0.465,0.496,0.628,negotiate
0.455,0.444,0.328,0.505,0.371,0.446,0.603,0.257,0.544,0.37,mixed_strategy
0.553,0.472,0.402,0.579,0.608,0.479,0.575,0.476,0.331,0.526,mixed_strategy
0.529,0.658,0.308,0.34,0.486,0.462,0.895,0.324,0.511,0.187,delay
0.6,0.57,0.451,0.557,0.548,0.399,0.371,0.443,0.308,0.446,mixed_strategy
0.682,0.223,0.652,0.084,0.777,0.713,0.164,0.598,0.263,0.667,cooperate
