expected_return,downside_risk,conviction_score,liquidity_need,volatility,macro_uncertainty
0.754,0.455,0.472,0.307,0.412,0.65
0.875,0.696,0.313,0.326,0.478,0.191
0.723,0.598,0.445,0.583,0.508,0.412
0.737,0.333,0.418,0.487,0.308,0.792
0.638,0.539,0.61,0.476,0.334,0.324
0.313,0.188,0.689,0.22,0.347,0.574
0.672,0.427,0.355,0.39,0.484,0.4
0.4,0.19,0.747,0.083,0.2,0.335
0.694,0.283,0.731,0.252,0.49,0.598
0.28,0.366,0.553,0.584,0.337,0.567
0.337,0.196,0.826,0.211,0.413,0.2
0.562,0.461,0.804,0.405,0.423,0.618
0.524,0.327,0.434,0.188,0.489,0.033
0.772,0.628,0.772,0.145,0.397,0.312
0.714,0.438,0.599,0.522,0.359,0.371
0.542,0.365,0.75,0.33,0.275,0.315
0.481,0.281,0.74,0.108,0.293,0.37
0.609,0.326,0.734,0.102,0.312,0.259
0.513,0.457,0.389,0.378,0.476,0.349
0.696,0.458,0.523,0.495,0.345,0.526
0.651,0.291,0.537,0.269,0.36,0.409
0.771,0.637,0.407,0.494,0.623,0.698
0.658,0.48,0.389,0.401,0.507,0.383
0.581,0.326,0.5,0.319,0.356,0.34
0.444,0.211,0.535,0.33,0.126,0.798
0.829,0.446,0.727,0.199,0.43,0.564
0.618,0.436,0.485,0.369,0.393,0.472
0.663,0.544,0.602,0.235,0.351,0.128
0.843,0.508,0.462,0.322,0.469,0.654
0.612,0.651,0.591,0.281,0.627,0.518
0.761,0.452,0.564,0.183,0.341,0.219
0.444,0.327,0.8,0.469,0.462,0.447
0.594,0.305,0.53,0.681,0.346,0.212
0.667,0.433,0.778,0.486,0.446,0.612
0.452,0.43,0.611,0.351,0.534,0.618
0.841,0.7,0.601,0.483,0.313,0.58
0.594,0.486,0.103,0.524,0.558,0.291
0.754,0.341,0.632,0.67,0.622,0.545
0.92,0.88,0.9,0.85,0.9,0.87
0.03,0.02,0.04,0.05,0.03,0.02
0.99,0.01,0.98,0.02,0.01,0.01
0.15,0.85,0.2,0.88,0.92,0.9
0.5,0.5,0.5,0.5,0.5,0.5
