growth_signal,retention_signal,margin_signal,technical_debt,execution_capacity,strategic_fit
0.669,0.785,0.432,0.524,0.405,0.754
0.545,0.651,0.474,0.482,0.625,0.657
0.766,0.659,0.583,0.264,0.318,0.643
0.569,0.453,0.646,0.224,0.605,0.511
0.568,0.587,0.614,0.276,0.519,0.485
0.693,0.781,0.414,0.321,0.703,0.5
0.754,0.454,0.68,0.557,0.435,0.7
0.466,0.378,0.605,0.162,0.569,0.397
0.436,0.519,0.572,0.155,0.608,0.443
0.718,0.613,0.607,0.21,0.489,0.791
0.734,0.795,0.586,0.107,0.669,0.719
0.725,0.61,0.608,0.364,0.735,0.653
0.404,0.604,0.579,0.07,0.632,0.532
0.595,0.675,0.285,0.575,0.396,0.695
0.27,0.575,0.268,0.282,0.657,0.416
0.379,0.656,0.645,0.379,0.429,0.57
0.76,0.728,0.263,0.046,0.831,0.559
0.863,0.542,0.425,0.391,0.66,0.809
0.678,0.612,0.585,0.326,0.464,0.645
0.577,0.763,0.626,0.345,0.467,0.522
0.467,0.696,0.542,0.237,0.646,0.561
0.316,0.532,0.509,0.424,0.672,0.566
0.867,0.822,0.394,0.129,0.736,0.683
0.738,0.606,0.874,0.33,0.523,0.588
0.429,0.6,0.553,0.067,0.594,0.62
0.633,0.584,0.752,0.106,0.582,0.575
0.334,0.67,0.639,0.536,0.514,0.627
0.594,0.605,0.504,0.16,0.528,0.588
0.72,0.701,0.64,0.123,0.858,0.719
0.555,0.452,0.162,0.31,0.62,0.665
0.619,0.745,0.949,0.501,0.585,0.738
0.415,0.511,0.692,0.193,0.707,0.404
0.824,0.672,0.521,0.68,0.266,0.718
0.748,0.73,0.597,0.166,0.725,0.795
0.548,0.748,0.41,0.445,0.68,0.692
0.523,0.607,0.461,0.287,0.365,0.56
0.9,0.25,0.85,0.88,0.15,0.82
0.03,0.05,0.04,0.02,0.06,0.04
0.98,0.97,0.95,0.02,0.99,0.96
0.78,0.8,0.12,0.9,0.08,0.75
0.1,0.92,0.88,0.05,0.9,0.15
